category,name,description,base_price,image_filename,modifiers
The Mob,Alfie,"Chicken Cutlet, Garlic Parmesan Sauce, Bacon, Parmesan, Mozzarella, Garlic Butter Focaccia - Al'S Chicken Alfredo Sandwich",20,,
The Mob,Barry Goldstein,Greek Quesadillas With Gyro Meat,19.2,barryg.jpg,"[{""name"":""Options"",""is_required"":false,""min_selections"":0,""max_selections"":7,""options"":[{""name"":""No Sauce"",""price_adjustment"":0},{""name"":""No Gyro"",""price_adjustment"":0},{""name"":""No Tomato"",""price_adjustment"":0},{""name"":""No Red Onion"",""price_adjustment"":0},{""name"":""Extra Cheese"",""price_adjustment"":3.00},{""name"":""Add Bacon"",""price_adjustment"":3.00},{""name"":""Extra Gyro"",""price_adjustment"":4.00}]}]"
The Mob,Big Al,Classic Meatball Sub,21.6,bigal.jpg,"[{""name"":""Options"",""is_required"":false,""min_selections"":0,""max_selections"":7,""options"":[{""name"":""No Pistachio Pesto"",""price_adjustment"":0},{""name"":""No Parm"",""price_adjustment"":0},{""name"":""Extra Cheese"",""price_adjustment"":3.00},{""name"":""Extra Meatball"",""price_adjustment"":4.00},{""name"":""Add Bacon"",""price_adjustment"":3.00},{""name"":""Spicy"",""price_adjustment"":0},{""name"":""Add Hot Peppers"",""price_adjustment"":2.00}]}]"
The Mob,Castro,A Classic Cubano Sandwich,21.6,castro.jpg,"[{""name"":""Options"",""is_required"":false,""min_selections"":0,""max_selections"":9,""options"":[{""name"":""No Pickles"",""price_adjustment"":0},{""name"":""Extra Pulled Pork"",""price_adjustment"":5.00},{""name"":""No Garlic Aioli"",""price_adjustment"":0},{""name"":""Extra Garlic Aioli"",""price_adjustment"":1.00},{""name"":""Add Pickles"",""price_adjustment"":1.00},{""name"":""Extra Ham"",""price_adjustment"":4.00},{""name"":""No Mustard"",""price_adjustment"":0},{""name"":""Extra Mustard"",""price_adjustment"":1.00},{""name"":""Extra Cheese"",""price_adjustment"":3.00}]}]"
The Mob,Cousin Nicky,,21.6,cousinnicky.jpg,"[{""name"":""Options"",""is_required"":false,""min_selections"":0,""max_selections"":10,""options"":[{""name"":""No Sauteed Peppers"",""price_adjustment"":0},{""name"":""No Onion"",""price_adjustment"":0},{""name"":""No Mushroom"",""price_adjustment"":0},{""name"":""No Parm"",""price_adjustment"":0},{""name"":""Add Banana Peppers"",""price_adjustment"":3.00},{""name"":""Add Hot Sauce"",""price_adjustment"":2.00},{""name"":""Extra Veal"",""price_adjustment"":7.00},{""name"":""Extra Cheese"",""price_adjustment"":3.00},{""name"":""Add Bacon"",""price_adjustment"":3.00},{""name"":""Spicy"",""price_adjustment"":0}]}]"
The Mob,Diamond Jims,"Sliced Rib Eye Topped With Cheese, Sauteed Mushroom, Sauteed Peppers And Horseradish Aioli",21.6,diamondjims.jpg,"[{""name"":""Options"",""is_required"":false,""min_selections"":0,""max_selections"":8,""options"":[{""name"":""No Onion"",""price_adjustment"":0},{""name"":""Extra Onion"",""price_adjustment"":2.00},{""name"":""Add Cheddar Cheese"",""price_adjustment"":3.00},{""name"":""Extra Beef"",""price_adjustment"":6.00},{""name"":""Add Bacon"",""price_adjustment"":3.00},{""name"":""No Peppers"",""price_adjustment"":0},{""name"":""No Mushrooms"",""price_adjustment"":0},{""name"":""No Aioli"",""price_adjustment"":0}]}]"
The Mob,Fat Tony,Classic Chicken Parm Sandy,19.2,fattony.jpg,"[{""name"":""Options"",""is_required"":false,""min_selections"":0,""max_selections"":10,""options"":[{""name"":""No Pesto"",""price_adjustment"":0},{""name"":""No Mozzarella"",""price_adjustment"":0},{""name"":""Extra Cheese"",""price_adjustment"":3.00},{""name"":""Add Bacon"",""price_adjustment"":3.00},{""name"":""Add Balsamic Glaze"",""price_adjustment"":2.00},{""name"":""Add Basil"",""price_adjustment"":2.00},{""name"":""Sub Chicken Parm"",""price_adjustment"":0},{""name"":""Spicy"",""price_adjustment"":0},{""name"":""No Basil"",""price_adjustment"":0},{""name"":""No Balsamic Glaze"",""price_adjustment"":0}]}]"
The Mob,Hi Bubba,"Choice Of Grilled Chicken Or Smoke Ham, Bacon, Red Onion, Tomato, Spicy Honey Mustard, Cheese, Arugula",19.2,hibubba.jpg,"[{""name"":""Options"",""is_required"":false,""min_selections"":0,""max_selections"":9,""options"":[{""name"":""No Red Onion"",""price_adjustment"":0},{""name"":""No Romaine"",""price_adjustment"":0},{""name"":""No Tomato"",""price_adjustment"":0},{""name"":""Extra Cheese"",""price_adjustment"":3.00},{""name"":""Add Bacon"",""price_adjustment"":3.00},{""name"":""Ham"",""price_adjustment"":0},{""name"":""Grilled Chicken"",""price_adjustment"":0},{""name"":""No Arugula"",""price_adjustment"":0},{""name"":""Spicy"",""price_adjustment"":0}]}]"
The Mob,Jimmy the Greek,"Grilled Chicken, Bacon, Tomato, Shredded Lettuce, Shredded Cheddar And Topped With Ranch. Stuffed In A Warm Pita",20,,"[{""name"":""Options"",""is_required"":false,""min_selections"":0,""max_selections"":11,""options"":[{""name"":""No Tomato"",""price_adjustment"":0},{""name"":""Extra Tomato"",""price_adjustment"":1.00},{""name"":""Sub For Provolone"",""price_adjustment"":2.00},{""name"":""Add Extra Cheddar"",""price_adjustment"":3.00},{""name"":""Extra Grilled Chicken"",""price_adjustment"":6.00},{""name"":""Sub Cheddar for Mozarella"",""price_adjustment"":0},{""name"":""Extra Ranch"",""price_adjustment"":1.00},{""name"":""Extra Bacon"",""price_adjustment"":2.00},{""name"":""No Bacon"",""price_adjustment"":0},{""name"":""Sub for Halal Beef Bacon"",""price_adjustment"":2.50},{""name"":""No Cheese"",""price_adjustment"":0}]}]"
The Mob,Julius Caesar,"Chicken Cutlet, Caesar Salad, Bacon, Parmesan On A Toasted Focaccia",20.4,julius.jpg,"[{""name"":""Options"",""is_required"":false,""min_selections"":0,""max_selections"":7,""options"":[{""name"":""No Bacon"",""price_adjustment"":0},{""name"":""No Parm"",""price_adjustment"":0},{""name"":""Extra Cheese"",""price_adjustment"":3.00},{""name"":""Add Bacon"",""price_adjustment"":3.00},{""name"":""Extra Parm"",""price_adjustment"":3.00},{""name"":""Sub Grilled Chicken"",""price_adjustment"":0},{""name"":""Spicy"",""price_adjustment"":0}]}]"
