category,name,description,base_price,image_filename,modifiers
The Mob,Alfie,"chicken cutlet, garlic parmesan sauce, bacon, parmesan, mozzarella, garlic butter focaccia - Al's Chicken Alfredo sandwich",20,,
The Mob,Barry Goldstein,Greek Quesadillas With Gyro Meat,19.2,barryg.jpg,"[{""name"":""Options"",""is_required"":false,""min_selections"":0,""max_selections"":7,""options"":[{""name"":""No Sauce"",""price_adjustment"":0},{""name"":""No Gyro"",""price_adjustment"":0},{""name"":""No Tomato"",""price_adjustment"":0},{""name"":""No Red Onion"",""price_adjustment"":0},{""name"":""Extra Cheese"",""price_adjustment"":3.00},{""name"":""Add Bacon"",""price_adjustment"":3.00},{""name"":""Extra Gyro"",""price_adjustment"":4.00}]}]"
The Mob,Big Al,Classic Meatball Sub,21.6,bigal.jpg,"[{""name"":""Options"",""is_required"":false,""min_selections"":0,""max_selections"":7,""options"":[{""name"":""No Pistachio Pesto"",""price_adjustment"":0},{""name"":""No Parm"",""price_adjustment"":0},{""name"":""Extra Cheese"",""price_adjustment"":3.00},{""name"":""Extra Meatball"",""price_adjustment"":4.00},{""name"":""Add Bacon"",""price_adjustment"":3.00},{""name"":""Spicy"",""price_adjustment"":0},{""name"":""Add Hot Peppers"",""price_adjustment"":2.00}]}]"
The Mob,Castro,a classic cubano sandwich,21.6,castro.jpg,
The Mob,Cousin Nicky,,21.6,cousinnicky.jpg,"[{""name"":""Options"",""is_required"":false,""min_selections"":0,""max_selections"":10,""options"":[{""name"":""No Sauteed Peppers"",""price_adjustment"":0},{""name"":""No Onion"",""price_adjustment"":0},{""name"":""No Mushroom"",""price_adjustment"":0},{""name"":""No Parm"",""price_adjustment"":0},{""name"":""Add Banana Peppers"",""price_adjustment"":3.00},{""name"":""Add Hot Sauce"",""price_adjustment"":2.00},{""name"":""Extra Veal"",""price_adjustment"":7.00},{""name"":""Extra Cheese"",""price_adjustment"":3.00},{""name"":""Add Bacon"",""price_adjustment"":3.00},{""name"":""Spicy"",""price_adjustment"":0}]}]"
The Mob,Diamond Jims,"Sliced Rib Eye Topped With Cheese, Sauteed Mushroom, Sauteed Peppers and Horseradish Aioli",21.6,diamondjims.jpg,"[{""name"":""Options"",""is_required"":false,""min_selections"":0,""max_selections"":8,""options"":[{""name"":""No Onion"",""price_adjustment"":0},{""name"":""Extra Onion"",""price_adjustment"":2.00},{""name"":""Add Cheddar Cheese"",""price_adjustment"":3.00},{""name"":""Extra Beef"",""price_adjustment"":6.00},{""name"":""Add Bacon"",""price_adjustment"":3.00},{""name"":""No Peppers"",""price_adjustment"":0},{""name"":""No Mushrooms"",""price_adjustment"":0},{""name"":""No Aioli"",""price_adjustment"":0}]}]"
The Mob,Fat Tony,Classic Chicken Parm Sandy,19.2,fattony.jpg,"[{""name"":""Options"",""is_required"":false,""min_selections"":0,""max_selections"":10,""options"":[{""name"":""No Pesto"",""price_adjustment"":0},{""name"":""No Mozzarella"",""price_adjustment"":0},{""name"":""Extra Cheese"",""price_adjustment"":3.00},{""name"":""Add Bacon"",""price_adjustment"":3.00},{""name"":""Add Balsamic Glaze"",""price_adjustment"":2.00},{""name"":""Add Basil"",""price_adjustment"":2.00},{""name"":""Sub Chicken Parm"",""price_adjustment"":0},{""name"":""Spicy"",""price_adjustment"":0},{""name"":""No Basil"",""price_adjustment"":0},{""name"":""No Balsamic Glaze"",""price_adjustment"":0}]}]"
The Mob,Hi Bubba,"Choice of grilled chicken or smoke ham, bacon, red onion, tomato, spicy honey mustard, cheese, arugula",19.2,hibubba.jpg,"[{""name"":""Options"",""is_required"":false,""min_selections"":0,""max_selections"":9,""options"":[{""name"":""No Red Onion"",""price_adjustment"":0},{""name"":""No Romaine"",""price_adjustment"":0},{""name"":""No Tomato"",""price_adjustment"":0},{""name"":""Extra Cheese"",""price_adjustment"":3.00},{""name"":""Add Bacon"",""price_adjustment"":3.00},{""name"":""Ham"",""price_adjustment"":0},{""name"":""Grilled Chicken"",""price_adjustment"":0},{""name"":""No Arugula"",""price_adjustment"":0},{""name"":""Spicy"",""price_adjustment"":0}]}]"
The Mob,Jimmy the Greek,"grilled chicken, bacon, tomato, shredded lettuce, shredded cheddar and topped with ranch. Stuffed in a warm pita",20,jimmythegreek.jpg,
The Mob,Julius Caesar,"chicken cutlet, caesar salad, bacon, parmesan on a toasted focaccia",20.4,juliuscaesar.jpg,"[{""name"":""Options"",""is_required"":false,""min_selections"":0,""max_selections"":7,""options"":[{""name"":""No Bacon"",""price_adjustment"":0},{""name"":""No Parm"",""price_adjustment"":0},{""name"":""Extra Cheese"",""price_adjustment"":3.00},{""name"":""Add Bacon"",""price_adjustment"":3.00},{""name"":""Extra Parm"",""price_adjustment"":3.00},{""name"":""Sub Grilled Chicken"",""price_adjustment"":0},{""name"":""Spicy"",""price_adjustment"":0}]}]"
